BikeBuyer,Country,Education,Occupation,Gender,MaritalStatus,Home,AveMoSpend,Income,BirthYear,Cars,Child_Home,Child_Total
0,Australia,Bachelors ,Professional,M,M,1,89,137947,1966,0,0,2
1,Australia,Bachelors ,Professional,M,S,0,117,101141,1965,1,3,3
0,Australia,Bachelors ,Professional,M,M,1,123,91945,1965,1,3,3
0,Australia,Bachelors ,Professional,F,S,0,50,86688,1968,1,0,0
1,Australia,Bachelors ,Professional,F,S,1,95,92771,1968,4,5,5
1,Australia,Bachelors ,Professional,M,S,1,78,103199,1965,1,0,0
1,Australia,Bachelors ,Professional,F,S,1,54,84756,1965,1,0,0
1,Australia,Bachelors ,Professional,M,M,1,130,109759,1964,2,3,3
1,Australia,Bachelors ,Professional,F,S,1,85,88005,1964,3,4,4
0,Australia,Bachelors ,Professional,M,S,0,74,106399,1964,1,0,0
0,Australia,Bachelors ,Professional,F,S,0,49,81294,1964,1,0,0
1,Australia,Bachelors ,Professional,M,M,1,146,94029,1963,4,4,4
1,United States,Bachelors ,Management,F,M,1,55,99245,1968,2,0,2
0,United States,Bachelors ,Management,M,M,1,84,115859,1968,3,0,2
0,United States,Bachelors ,Management,F,S,0,49,105157,1968,3,0,3
0,United States,Partial College,Skilled Manual,F,S,0,39,40011,1979,1,0,0
0,United States,Partial College,Skilled Manual,M,M,1,68,46808,1979,1,0,0
1,Canada,High School,Skilled Manual,M,S,0,64,49455,1978,2,0,0
0,Canada,High School,Skilled Manual,M,S,0,64,43857,1978,2,0,0
0,United States,Partial College,Skilled Manual,M,M,1,71,50046,1978,1,0,0
0,United States,Partial College,Skilled Manual,M,M,1,77,91276,1978,2,0,0
0,Australia,Partial High School,Clerical,M,M,1,70,24334,1945,2,1,2
0,Australia,Partial College,Clerical,M,S,0,63,61905,1946,2,0,2
0,Australia,Partial College,Clerical,M,M,1,76,49349,1946,2,0,2
0,Australia,Partial College,Clerical,F,M,1,43,44068,1946,2,0,2
0,Australia,High School,Skilled Manual,F,M,1,43,18843,1947,2,0,4
0,Australia,High School,Skilled Manual,F,M,1,42,15861,1947,2,0,4
0,Australia,High School,Skilled Manual,M,M,1,58,35822,1947,2,0,4
0,Australia,High School,Skilled Manual,F,M,1,39,29017,1947,2,0,4
0,Australia,Partial High School,Clerical,F,M,1,50,11721,1948,2,1,2
0,United States,Partial College,Skilled Manual,F,M,1,52,84890,1978,2,0,0
0,Canada,Partial High School,Clerical,F,S,0,46,48651,1977,2,0,0
1,Australia,Bachelors ,Professional,M,S,0,73,129497,1975,2,0,0
